name,team,year,age,height,weight,rating,completions,yds_per_comp,yds_lost_by_sack,ints,net_yds_per_att,games_played,longest_pass,adj_net_yds_per_att,td_percentage,completion_percentage,games_started,int_percentage,avg_yds_per_att,avg_value,comebacks,gwds,sacked,wins,tds,yds_per_att,yds,qbr,yds_per_game,att,perc_times_sk,c_cmpp,c_avg_cmpp,c_ya,c_aya,c_rate,c_pct,c_avg_att,c_att,c_numyrs,c_td,c_avg_tds,c_inter,c_avg_inter,c_yds,c_avg_yds
Russell Wilson,SEA,2012,24,71,204,100,252,12.4,203,10,6.84,16,67,7.01,6.6,64.1,16,2.5,8.1,16,4,5,33,11,26,7.9,3118,69.59,194.9,393,7.7,907,226.75,7.9,8.4,147.2,60.9,372.25,1489,4,109,27.25,30,7.5,11720,2930
Andrew Luck,IND,2012,23,76,234,76.5,339,12.9,246,18,6.18,16,70,5.66,3.7,54.1,15,2.9,6.4,13,4,-999,41,11,23,7,4374,64.99,273.4,627,6.1,713,237.67,8.9,9.5,162.8,67,354.67,1064,3,82,27.33,22,7.33,9430,3143.33
Brandon Weeden,CLE,2012,29,76,221,72.6,297,11.4,186,17,5.87,15,71,4.98,2.7,57.4,15,3.3,5.6,8,1,1,28,5,14,6.5,3385,26.6,225.7,517,5.1,766,191.5,8.4,8.7,157.7,69.5,275.5,1102,4,75,18.75,27,6.75,9260,2315
Ryan Tannehill,MIA,2012,24,76,221,76.1,282,11.7,234,13,5.9,16,80,5.23,2.5,58.3,16,2.7,6.1,10,1,1,35,7,12,6.8,3294,52.28,205.9,484,6.7,484,121,7,6.9,134.2,62.5,193.5,774,4,42,10.5,21,5.25,5450,1362.5
Colin Kaepernick,SFO,2012,25,77,233,98.3,136,13.3,112,3,7.27,13,57,7.55,4.6,62.4,7,1.4,-999,9,2,2,16,5,10,8.3,1814,76.79,139.5,218,6.8,740,185,7.9,8.4,142.5,58.2,317.75,1271,4,82,20.5,24,6,10098,2524.5
Jake Locker,TEN,2012,24,75,231,74,177,12.3,151,11,5.97,11,71,5.1,3.2,56.4,11,3.5,6,6,0,1,25,4,10,6.9,2176,48.07,197.8,314,7.4,619,154.75,6.7,6.2,119,53.9,287,1148,4,53,13.25,35,8.75,7639,1909.75
Cam Newton,CAR,2011,22,77,248,84.5,310,13.1,260,17,6.87,16,91,6.24,4.1,60,16,3.3,7.2,18,1,1,35,6,21,7.8,4051,55.04,253.2,517,6.3,191,63.67,10,10.9,178.2,65.4,97.33,292,3,30,10,7,2.33,2908,969.33
Andy Dalton,CIN,2011,24,74,215,80.4,300,11.3,160,13,6,16,84,5.65,3.9,58.1,16,2.5,6.2,11,4,4,24,9,20,6.6,3398,45.84,212.4,516,4.4,812,203,7.8,7.9,140.7,61.7,329.25,1317,4,71,17.75,30,7.5,10314,2578.5
Matt Moore,MIA,2011,27,75,192,87.1,210,11.9,229,9,5.92,13,65,5.7,4.6,60.5,12,2.6,7,8,1,1,36,6,16,7.2,2497,56.65,192.1,347,9.4,440,220,7.8,7,131.7,60,366.5,733,2,29,14.5,26,13,5733,2866.5
Christian Ponder,MIN,2011,23,74,229,70.1,158,11.7,164,13,5.26,11,72,4.25,4.5,54.3,10,4.5,5.3,5,0,1,30,2,13,6.4,1853,33.73,168.5,291,9.3,596,149,7.1,6.7,132.1,61.8,241.25,965,4,49,12.25,30,7.5,6872,1718
Tim Tebow,DEN,2011,24,74,236,72.9,126,13.7,225,6,4.95,14,56,4.85,4.4,46.5,11,2.2,6.3,8,5,6,33,7,12,6.4,1729,29.91,123.5,271,10.9,661,165.25,9.3,10.4,170.8,66.4,248.75,995,4,88,22,16,4,9285,2321.25
Kevin Kolb,ARI,2011,27,75,218,81.1,146,13.4,219,8,6.13,9,73,5.5,3.6,57.7,9,3.2,7,5,2,1,30,3,9,7.7,1955,34.45,217.2,253,10.6,964,241,8.3,8.5,145.1,61.6,391.25,1565,4,85,21.25,31,7.75,12964,3241
Curtis Painter,IND,2011,26,76,230,66.6,132,11.7,104,9,5.55,9,87,4.45,2.5,54.3,8,3.7,5.2,2,-999,-999,16,0,6,6.3,1541,-999,171.2,243,6.2,987,246.75,6.8,6.3,124.6,59.9,412,1648,4,67,16.75,46,11.5,11163,2790.75
Sam Bradford,STL,2010,23,76,236,76.5,354,9.9,244,15,5.24,16,49,4.73,3.1,60,16,2.5,5.4,9,-999,-999,34,7,18,6,3512,41.5,219.5,590,5.4,604,201.33,9.4,10.6,175.6,67.6,297.67,893,3,88,29.33,16,5.33,8403,2801
Colt McCoy,CLE,2010,23,74,209,74.5,135,11.7,132,9,5.89,8,47,4.73,2.7,60.8,8,4.1,5.8,5,-999,-999,23,2,6,7.1,1576,44.98,197,222,9.4,1157,289.25,8.1,8.2,155,70.3,411.25,1645,4,112,28,45,11.25,13253,3313.25
Jimmy Clausen,CAR,2010,23,75,217,58.4,157,9.9,223,9,4.02,13,55,2.98,1,52.5,10,3,4.1,0,-999,-999,33,1,3,5.2,1558,11.78,119.8,299,9.9,695,231.67,7.3,7.3,137.2,62.6,370,1110,3,60,20,27,9,8148,2716
